Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,2010,2011,2012,2013,2014,2020,2021,2022,2024,total
nl,,,,0,0,0,0,0,0,0,0,0,1136,3953,2802,5338,4307,253,17789
webwinkel,,,,0,0,0,0,0,0,1295,5805,7082,1,2,0,0,0,0,14185
,,,shop,0,0,0,0,0,0,832,3662,5068,0,0,0,2,2,3,9569
,collectie,,,0,0,0,0,0,0,0,0,12,463,1461,1765,3319,2419,1,9440
,rijksstudio,,,0,0,0,0,0,0,0,0,0,3,2087,692,2183,1946,59,6970
,,,verzamelingen,0,0,0,0,0,0,0,0,0,0,1697,269,1384,1232,8,4590
en,,,,0,0,0,0,0,0,0,0,0,618,404,360,1022,1121,198,3723
,,,winkel,0,0,0,0,0,0,145,1011,817,0,0,0,0,0,0,1973
,collection,,,0,0,0,0,0,0,0,0,0,392,81,92,398,470,1,1434
,souvenirs,,,0,0,0,0,0,0,83,541,764,0,0,0,0,0,0,1388
,,,text,0,0,0,0,0,0,110,578,663,2,0,0,0,0,0,1353
,gift-ideas,,,0,0,0,0,0,0,122,385,465,0,0,0,0,0,0,972
,rembrandt,,,0,0,0,0,0,0,80,368,487,0,0,0,0,0,0,935
,,Grote-souvenirs,,0,0,0,0,0,0,51,293,375,0,0,0,0,0,0,719
,,shop,,0,0,0,0,0,0,95,279,319,0,0,0,0,0,0,693
,,,product,0,0,0,0,0,0,95,277,317,0,0,0,0,0,0,689
,,Kleine-souvenirs,,0,0,0,0,0,0,29,250,386,0,0,0,0,0,0,665
,stationery,,,0,0,0,0,0,0,50,188,394,0,0,0,0,0,0,632
,Souvenirs,,,0,0,0,0,0,0,3,270,347,0,0,0,0,0,0,620
images,,,,0,0,0,0,0,0,119,318,182,0,1,0,0,0,0,620
,books---dvd-s,,,0,0,0,0,0,0,95,259,244,0,0,0,0,0,0,598
,reproductions,,,0,0,0,0,0,0,98,226,253,0,0,0,0,0,0,577
,fashion,,,0,0,0,0,0,0,64,236,276,0,1,0,0,0,0,577
,homeware,,,0,0,0,0,0,0,81,218,232,0,0,0,0,0,0,531
,Rembrandt,,,0,0,0,0,0,0,2,187,287,0,0,0,0,0,0,476
,ontdek-de-collectie,,,0,0,0,0,0,0,0,0,0,259,216,0,0,0,0,475
,,Bureau-accessoires,,0,0,0,0,0,0,0,165,308,0,0,0,0,0,0,473
,in-huis,,,0,0,0,0,0,0,26,280,155,0,0,0,0,0,0,461
,,Keramiek,,0,0,0,0,0,0,60,222,141,0,0,0,0,0,0,423
,,,collections,0,0,0,0,0,0,0,0,0,0,134,59,101,109,8,411
,,Overige,,0,0,0,0,0,0,68,180,152,0,0,0,0,0,0,400
,,Bureau,,0,0,0,0,0,0,48,73,254,0,0,0,0,0,0,375
,,onderwerpen,,0,0,0,0,0,0,0,0,0,75,75,65,71,71,2,359
,,kunstenaars,,0,0,0,0,0,0,0,0,0,0,0,108,110,109,6,333
,,Rembrandt-articles,,0,0,0,0,0,0,0,116,212,0,0,0,0,0,0,328
,,Rembrandt-artikelen,,0,0,0,0,0,0,0,116,212,0,0,0,0,0,0,328
,,Volwassenen,,0,0,0,0,0,0,42,126,159,0,0,0,0,0,0,327
,,Large-souvenirs,,0,0,0,0,0,0,0,136,180,0,0,0,0,0,0,316
,,text,,0,0,0,0,0,0,94,108,103,0,1,0,0,0,0,306
,,,javascript,0,0,0,0,0,0,94,108,103,0,1,0,0,0,0,306
,,Om-te-dragen,,0,0,0,0,0,0,37,161,102,0,0,0,0,0,0,300
,,,creaties,0,0,0,0,0,0,0,0,0,0,195,2,30,18,0,245
,,,route,0,0,0,0,0,0,0,0,0,0,0,22,59,58,8,147
,,,partnerships,0,0,0,0,0,0,0,0,0,0,0,0,42,40,12,94
,,,story,0,0,0,0,0,0,0,0,0,0,0,0,2,48,4,54
,,,den-haag-prenten,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50
,,,delft-prenten,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,49
,,,haarlem-prenten,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,49
,,,make-sense,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,49
formats,,,,0,0,0,0,0,0,15,14,9,0,0,0,0,0,0,38
static,,,,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26
fr,,,,0,0,0,0,0,0,0,0,0,1,1,6,1,3,13,25
de,,,,0,0,0,0,0,0,0,0,0,1,1,6,1,2,13,24
catalogue,,,,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13
zoeken,,,,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,9
es,,,,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,7
nieuwsenagenda,,,,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,7
tentoonstellingen,,,,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,7
ru,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6
it,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6
